id,english_title,japanese_title,brightper
35,A View of Mount Fuji Across Lake Suwa,信州諏訪湖,74.65
30,Shichiri beach in Sagami Province,相州七里浜,71.44
21,Nihonbashi bridge in Edo,江戸日本橋,71.1
9,Fuji View Field in Owari Province,尾州不二見原,70.6
25,"Mount Fuji reflects in Lake Kawaguchi, seen from the Misaka Pass in Kai Province",甲州三坂水面,70.06
20,The Kazusa Province sea route,上総の海路,69.5
33,Mishima Pass in Kai Province,甲州三嶌越,69.41
15,Shimomeguro,下目黒,69.33
8,"Inume Pass, Kōshū",甲州犬目峠,69.15
22,Barrier Town on the Sumida River,隅田川関屋の里,69.12
34,Mount Fuji from the mountains of Tōtōmi,遠江山中,69.05
10,Ejiri in Suruga Province,駿州江尻,68.41
36,Ushibori in Hitachi Province,常州牛掘,67.41
29,Tsukuda Island in Musashi Province,武陽佃島,67.11
18,"Shore of Tago Bay, Ejiri at Tōkaidō",東海道江尻田子の浦略図,67.04
16,Watermill at Onden,隠田の水車,67.0
19,Yoshida at Tōkaidō,東海道吉田,66.8
13,Sazai hall - Temple of Five Hundred Rakan,五百らかん寺さざゐどう,65.9
4,Under Mannen Bridge at Fukagawa,深川万年橋下,65.84
23,Bay of Noboto,登戸浦,65.3
14,Tea house at Koishikawa. The morning after a snowfall,礫川雪の旦,64.97
27,Tama River in Musashi Province,武州玉川,64.89
28,Asakusa Hongan-ji temple in the Eastern capital,東都浅草本願寺,64.83
5,"Sundai, Edo",東都駿台,64.44
11,A sketch of the Mitsui shop in Suruga in Edo,江都駿河町三井見世略図,63.3
7,"Senju, Musashi But",武州千住,62.98
17,Enoshima in Sagami Province,相州江の島,62.2
26,Hodogaya on the Tōkaidō,東海道保土ケ谷,61.82
1,The Great Wave off Kanagawa,神奈川沖浪裏,61.15
12,Sunset across the Ryōgoku bridge from the bank of the Sumida River at Onmayagashi,御厩川岸より両国橋夕陽見,61.03
31,Umezawa in Sagami Province,相州梅沢庄,59.9
32,Kajikazawa in Kai Province,甲州石班沢,59.16
24,The lake of Hakone in Sagami Province,相州箱根湖水,58.61
6,Cushion Pine at Aoyama,青山円座松,55.28
2,"Fine Wind, Clear Morning",凱風快晴,43.95
3,Thunderstorm Beneath the Summit,山下白雨,34.46
